gamma,n_communities,modularity
0.25,4,0.4228848698575524
0.5,5,0.5000445801234665
0.75,7,0.5551601373693572
1.0,9,0.5700409205616076
1.25,10,0.5626465255118797
1.5,13,0.548967748018693
1.75,14,0.5437440207039284
2.0,17,0.5302653403089851
2.25,18,0.5226480413590713
2.5,21,0.5135129902814057
2.75,24,0.503444701563941
3.0,26,0.4974331450561247
3.25,30,0.4764398607658687
3.5,33,0.4682473265646383
3.75,36,0.4609177668027386
4.0,37,0.4551645877327524
4.25,40,0.4435963136146969
4.5,43,0.43999088562494393
4.75,45,0.437762839996615
5.0,48,0.4325299367827752
5.25,52,0.4285741786209557
5.5,52,0.42786804497681963
5.75,59,0.41416843357931005
6.0,59,0.4134408576249047
